instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
148,er_n8_p0.39,er,14.57,10,8,26,0.2781363554919716,0.9411239481143202,0.15058018686036131,0.11786234492386238,True
149,mesh_2x4,mesh,14.26,16,8,20,0.6206706431337526,0.9393364366277243,0.27454214244051595,0.12597071430571807,True
150,sp_sp9,sp,34.9,7,11,13,0.9974557568739887,-0.1380861926847485,0.043360065243979944,0.03692893010953711,True
151,sp_sp4,sp,14.72,14,6,8,0.0,0.632455532033676,0.29629629629617393,0.17425934072906307,True
152,mesh_2x4,mesh,5.56,16,8,20,0.0,-0.4472135954999579,0.06103286384968831,0.37267799624949505,True
153,sp_sp8,sp,10.76,11,10,13,0.6224425667299067,0.2142857142857143,0.11809360861449497,0.08642974974981575,True
154,sp_sp4,sp,20.21,14,6,7,0.9993375659716331,0.0,0.0,0.0,True
155,mesh_2x4,mesh,21.89,15,8,20,0.6622733401248986,0.9000000000000001,0.2501548843477872,0.11785133375233513,True
156,er_n9_p0.38,er,1.25,8,9,33,0.09058724691447019,-0.28571428571428575,0.07029837558697405,0.09633547983065023,True
157,sp_sp6,sp,7.18,11,8,10,0.0,-0.13284223283101432,0.1666666666664436,0.3726779962494662,True
158,sp_sp4,sp,22.32,20,6,6,0.9970075384974861,0.0,0.0,0.0,True
159,mesh_3x3,mesh,0.97,17,9,24,0.0,-0.4277926319464985,0.04166666666633505,0.3499271061090976,True
160,sp_sp6,sp,10.28,9,8,11,0.33693934862362446,0.49280538030458115,0.11214364139347173,0.09586988662434101,True
161,er_n4_p0.33,er,9.3,17,4,5,0.8539589989801607,0.9999999999999999,0.45013297872304386,0.30053191489337633,True
162,er_n5_p0.42,er,10.33,14,5,8,0.39272921706222585,0.0,0.15757445589912047,0.17398228705471575,True
163,sp_sp5,sp,16.82,11,7,7,0.786372604911437,-0.35355339059327373,0.16868609922431108,0.07537680800159548,True
164,er_n10_p0.4,er,31.39,14,9,26,0.9999981920635558,-0.41194292043554975,0.06040905924814833,0.05769214230194945,True
165,mesh_2x4,mesh,6.23,16,8,20,0.0,-0.5656854249492381,0.06103286384969355,0.3726779962495271,True
166,er_n8_p0.32,er,22.43,16,8,16,0.9999896335895896,-0.09258200997725516,0.10360794906421118,0.16881202457539307,True
167,mesh_3x3,mesh,2.53,18,9,24,0.9931157112673473,0.5800729211379677,0.13503964099117688,0.15104074456889635,True
168,sp_sp6,sp,27.42,7,8,9,0.9979293727540872,0.6789347398332044,0.16018940409180107,0.1190927003386452,True
169,er_n5_p0.39,er,11.09,18,5,9,0.9998058099719658,0.5000000000000001,0.17846244131449399,0.004149687683018305,True
170,sp_sp4,sp,8.83,19,6,6,0.9942833124593214,0.5443310539518174,0.33333333333311094,0.27657145405064015,True
171,er_n9_p0.35,er,14.76,18,9,25,0.9980497852040541,0.25896619868911863,0.18887575181197744,0.1905085130570978,True
172,sp_sp3,sp,29.46,12,5,5,0.9999962111789245,0.0,0.0,0.0,True
173,mesh_3x3,mesh,8.92,21,9,24,0.26535220251861114,0.47809144373375745,0.1791465668507958,0.2146543305920205,True
174,er_n7_p0.38,er,12.39,20,7,20,0.9999317955077117,0.8603090020146066,0.2477939852331338,0.153566873210516,True
175,sp_sp4,sp,5.49,10,6,8,0.0,0.7745966692414834,0.3333333333329381,0.4330127018917059,True
176,er_n12_p0.43,er,11.77,7,12,60,0.19765752085792404,0.5030303030303029,0.18858357992023642,0.10806037174186606,True
177,er_n4_p0.32,er,7.56,20,3,3,0.9786656718415209,0.0,0.0,0.0,False
